Subfolder,Child Folder,Longest delay (ns),Longest path,Total logic gates,Total delay
,18,22,11 -> 12 -> 14 -> 15 -> 8 -> 3 -> 4 -> 16 -> OUT,39,22
,20,28,0 -> 12 -> 13 -> 14 -> 15 -> 16 -> 17 -> 18 -> 11 -> 37 -> 38 -> 40 -> 42 -> 44 -> OUT,45,28
,22,0,OUT,0,0
,7,28,5 -> 6 -> 7 -> 8 -> 9 -> 10 -> 11 -> 25 -> 31 -> 32 -> 33 -> 34 -> 35 -> 36 -> OUT,37,28
,8,24,2 -> 5 -> 6 -> 7 -> 13 -> 26 -> 31 -> 32 -> 33 -> 34 -> 35 -> 36 -> OUT,37,24
,,,,,
2_second_tick,,,,,
,0,4,0 -> 1 -> OUT,2,4
,1,4,0 -> 1 -> OUT,2,4
,10,4,0 -> 1 -> OUT,2,4
,11,4,0 -> 1 -> OUT,2,4
,12,4,0 -> 1 -> OUT,2,4
,13,4,0 -> 1 -> OUT,2,4
,14,4,0 -> 1 -> OUT,2,4
,15,4,0 -> 1 -> OUT,2,4
,17,4,0 -> 1 -> OUT,2,4
,18,4,0 -> 1 -> OUT,2,4
,19,4,0 -> 1 -> OUT,2,4
,2,4,0 -> 1 -> OUT,2,4
,20,4,0 -> 1 -> OUT,2,4
,21,4,0 -> 1 -> OUT,2,4
,23,4,0 -> 1 -> OUT,2,4
,24,4,0 -> 1 -> OUT,2,4
,3,,,,
,4,4,0 -> 1 -> OUT,2,4
,5,4,0 -> 1 -> OUT,2,4
,9,4,0 -> 1 -> OUT,2,4
,,,,,
3_xor_gate,,,,,
,0,6,0 -> 3 -> 4 -> OUT,5,6
,1,6,1 -> 2 -> 4 -> OUT,5,6
,10,6,0 -> 3 -> 4 -> OUT,5,6
,11,6,0 -> 3 -> 4 -> OUT,5,6
,13,6,1 -> 2 -> 4 -> OUT,5,6
,14,6,1 -> 2 -> 4 -> OUT,5,6
,15,6,0 -> OUT,5,6
,17,6,0 -> 3 -> 4 -> OUT,5,6
,18,6,0 -> OUT,5,6
,2,6,1 -> 2 -> 4 -> OUT,5,6
,20,6,1 -> 2 -> 4 -> OUT,5,6
,21,6,0 -> OUT,5,6
,23,6,1 -> 2 -> 4 -> OUT,5,6
,24,6,0 -> 3 -> 4 -> OUT,5,6
,3,6,1 -> 2 -> 4 -> OUT,5,6
,4,6,1 -> 2 -> 4 -> OUT,5,6
,5,6,0 -> 3 -> 4 -> OUT,5,6
,6,6,0 -> 3 -> 4 -> OUT,5,6
,7,6,0 -> 3 -> 4 -> OUT,5,6
,9,6,1 -> 2 -> 4 -> OUT,5,6
,,,,,
4_or3_gate,,,,,
,0,4,0 -> 1 -> OUT,2,4
,1,4,0 -> 1 -> OUT,2,4
,10,4,0 -> 1 -> OUT,2,4
,12,4,0 -> 1 -> OUT,2,4
,14,4,0 -> 1 -> OUT,2,4
,15,4,0 -> 1 -> OUT,2,4
,16,,,,
,19,4,0 -> 1 -> OUT,2,4
,2,4,0 -> 1 -> OUT,2,4
,20,4,0 -> 1 -> OUT,2,4
,21,4,0 -> 1 -> OUT,2,4
,22,4,0 -> 1 -> OUT,2,4
,23,4,0 -> 1 -> OUT,2,4
,24,4,0 -> 1 -> OUT,2,4
,4,4,0 -> 1 -> OUT,2,4
,5,6,1 -> 4 -> 5 -> OUT,5,6
,6,4,0 -> 1 -> OUT,2,4
,7,4,0 -> 1 -> OUT,2,4
,8,4,0 -> 1 -> OUT,2,4
,9,4,1 -> 2 -> OUT,3,4
,,,,,
5_and3_gate,,,,,
,10,4,0 -> 1 -> OUT,2,4
,11,4,0 -> 1 -> OUT,2,4
,12,4,0 -> 1 -> OUT,2,4
,13,4,0 -> 1 -> OUT,2,4
,14,4,0 -> 1 -> OUT,2,4
,16,4,0 -> 1 -> OUT,2,4
,17,4,0 -> 1 -> OUT,2,4
,18,4,0 -> 1 -> OUT,2,4
,19,4,0 -> 1 -> OUT,2,4
,20,4,0 -> 1 -> OUT,2,4
,21,4,0 -> 1 -> OUT,2,4
